Thread №3 | Iterator: 1 | Time: 19:51:49
Thread №1 | Iterator: 2 | Time: 19:51:50
Thread №2 | Iterator: 3 | Time: 19:51:50
Thread №1 | Iterator: 4 | Time: 19:51:50
Thread №3 | Iterator: 5 | Time: 19:51:50
Thread №1 | Iterator: 6 | Time: 19:51:51
Thread №2 | Iterator: 7 | Time: 19:51:51
Thread №3 | Iterator: 8 | Time: 19:51:51
Thread №2 | Iterator: 9 | Time: 19:51:51
Thread №2 | Iterator: 10 | Time: 19:51:52
Thread №1 | Iterator: 11 | Time: 19:51:52
Thread №3 | Iterator: 12 | Time: 19:51:52
Thread №1 | Iterator: 13 | Time: 19:51:53
Thread №2 | Iterator: 14 | Time: 19:51:53
Thread №1 | Iterator: 15 | Time: 19:51:53
Thread №3 | Iterator: 16 | Time: 19:51:53
Thread №1 | Iterator: 17 | Time: 19:51:54
Thread №2 | Iterator: 18 | Time: 19:51:54
Thread №1 | Iterator: 19 | Time: 19:51:54
Thread №3 | Iterator: 20 | Time: 19:51:54
Thread №1 | Iterator: 21 | Time: 19:51:55
Thread №2 | Iterator: 22 | Time: 19:51:55
Thread №1 | Iterator: 23 | Time: 19:51:55
Thread №3 | Iterator: 24 | Time: 19:51:55
Thread №1 | Iterator: 25 | Time: 19:51:56
Thread №2 | Iterator: 26 | Time: 19:51:56
Thread №1 | Iterator: 27 | Time: 19:51:56
Thread №3 | Iterator: 28 | Time: 19:51:56
Thread №1 | Iterator: 29 | Time: 19:51:57
Thread №2 | Iterator: 30 | Time: 19:51:57
Thread №3 | Iterator: 31 | Time: 19:51:57
Thread №2 | Iterator: 32 | Time: 19:51:57
Thread №1 | Iterator: 33 | Time: 19:51:58
Thread №2 | Iterator: 34 | Time: 19:51:58
Thread №3 | Iterator: 35 | Time: 19:51:58
Thread №2 | Iterator: 36 | Time: 19:51:58
Thread №1 | Iterator: 37 | Time: 19:51:59
Thread №2 | Iterator: 38 | Time: 19:51:59
Thread №3 | Iterator: 39 | Time: 19:51:59
Thread №2 | Iterator: 40 | Time: 19:51:59
Thread №1 | Iterator: 41 | Time: 19:52:00
Thread №2 | Iterator: 42 | Time: 19:52:00
Thread №3 | Iterator: 43 | Time: 19:52:00
Thread №2 | Iterator: 44 | Time: 19:52:00
Thread №1 | Iterator: 45 | Time: 19:52:01
Thread №2 | Iterator: 46 | Time: 19:52:01
Thread №3 | Iterator: 47 | Time: 19:52:01
Thread №2 | Iterator: 48 | Time: 19:52:01
Thread №1 | Iterator: 49 | Time: 19:52:02
Thread №2 | Iterator: 50 | Time: 19:52:02
Thread №3 | Iterator: 51 | Time: 19:52:02
Thread №2 | Iterator: 52 | Time: 19:52:03
Thread №2 | Iterator: 53 | Time: 19:52:03
Thread №1 | Iterator: 54 | Time: 19:52:03
Thread №3 | Iterator: 55 | Time: 19:52:03
Thread №1 | Iterator: 56 | Time: 19:52:04
Thread №2 | Iterator: 57 | Time: 19:52:04
Thread №1 | Iterator: 58 | Time: 19:52:04
Thread №3 | Iterator: 59 | Time: 19:52:04
Thread №1 | Iterator: 60 | Time: 19:52:05
Thread №2 | Iterator: 61 | Time: 19:52:05
Thread №3 | Iterator: 62 | Time: 19:52:05
Thread №2 | Iterator: 63 | Time: 19:52:06
Thread №1 | Iterator: 64 | Time: 19:52:06
Thread №2 | Iterator: 65 | Time: 19:52:06
Thread №3 | Iterator: 66 | Time: 19:52:06
Thread №2 | Iterator: 67 | Time: 19:52:07
Thread №1 | Iterator: 68 | Time: 19:52:07
Thread №2 | Iterator: 69 | Time: 19:52:07
Thread №3 | Iterator: 70 | Time: 19:52:07
Thread №2 | Iterator: 71 | Time: 19:52:08
Thread №1 | Iterator: 72 | Time: 19:52:08
Thread №2 | Iterator: 73 | Time: 19:52:08
Thread №3 | Iterator: 74 | Time: 19:52:08
Thread №2 | Iterator: 75 | Time: 19:52:09
Thread №1 | Iterator: 76 | Time: 19:52:09
Thread №2 | Iterator: 77 | Time: 19:52:09
Thread №3 | Iterator: 78 | Time: 19:52:09
Thread №2 | Iterator: 79 | Time: 19:52:10
Thread №1 | Iterator: 80 | Time: 19:52:10
Thread №2 | Iterator: 81 | Time: 19:52:10
Thread №3 | Iterator: 82 | Time: 19:52:10
Thread №2 | Iterator: 83 | Time: 19:52:11
Thread №1 | Iterator: 84 | Time: 19:52:11
Thread №2 | Iterator: 85 | Time: 19:52:11
Thread №3 | Iterator: 86 | Time: 19:52:11
Thread №2 | Iterator: 87 | Time: 19:52:12
Thread №1 | Iterator: 88 | Time: 19:52:12
Thread №2 | Iterator: 89 | Time: 19:52:12
Thread №3 | Iterator: 90 | Time: 19:52:12
Thread №2 | Iterator: 91 | Time: 19:52:13
Thread №1 | Iterator: 92 | Time: 19:52:13
Thread №2 | Iterator: 93 | Time: 19:52:13
Thread №1 | Iterator: 94 | Time: 19:52:14
Thread №2 | Iterator: 95 | Time: 19:52:14
Thread №1 | Iterator: 96 | Time: 19:52:14
Thread №2 | Iterator: 97 | Time: 19:52:14
Thread №1 | Iterator: 98 | Time: 19:52:15
Thread №2 | Iterator: 99 | Time: 19:52:15
Thread №2 | Iterator: 100 | Time: 19:52:15
Thread №3 | Iterator: 101 | Time: 19:52:15
Thread №2 | Iterator: 102 | Time: 19:52:16
Thread №1 | Iterator: 103 | Time: 19:52:16
Thread №2 | Iterator: 104 | Time: 19:52:16
Thread №3 | Iterator: 105 | Time: 19:52:16
Thread №2 | Iterator: 106 | Time: 19:52:17
Thread №1 | Iterator: 107 | Time: 19:52:17
Thread №2 | Iterator: 108 | Time: 19:52:17
Thread №3 | Iterator: 109 | Time: 19:52:17
Thread №2 | Iterator: 110 | Time: 19:52:18
Thread №1 | Iterator: 111 | Time: 19:52:18
Thread №2 | Iterator: 112 | Time: 19:52:18
Thread №3 | Iterator: 113 | Time: 19:52:18
Thread №2 | Iterator: 114 | Time: 19:52:19
Thread №1 | Iterator: 115 | Time: 19:52:19
Thread №2 | Iterator: 116 | Time: 19:52:19
Thread №3 | Iterator: 117 | Time: 19:52:19
Thread №2 | Iterator: 118 | Time: 19:52:20
Thread №1 | Iterator: 119 | Time: 19:52:20
Thread №2 | Iterator: 120 | Time: 19:52:20
Thread №1 | Iterator: 121 | Time: 19:52:21
Thread №2 | Iterator: 122 | Time: 19:52:21
Thread №1 | Iterator: 123 | Time: 19:52:21
Thread №2 | Iterator: 124 | Time: 19:52:21
Thread №1 | Iterator: 125 | Time: 19:52:22
Thread №2 | Iterator: 126 | Time: 19:52:22
Thread №1 | Iterator: 127 | Time: 19:52:22
Thread №2 | Iterator: 128 | Time: 19:52:22
Thread №1 | Iterator: 129 | Time: 19:52:23
Thread №2 | Iterator: 130 | Time: 19:52:23
Thread №1 | Iterator: 131 | Time: 19:52:23
Thread №2 | Iterator: 132 | Time: 19:52:23
Thread №1 | Iterator: 133 | Time: 19:52:24
Thread №2 | Iterator: 134 | Time: 19:52:24
Thread №1 | Iterator: 135 | Time: 19:52:24
Thread №2 | Iterator: 136 | Time: 19:52:24
Thread №1 | Iterator: 137 | Time: 19:52:25
Thread №2 | Iterator: 138 | Time: 19:52:25
Thread №2 | Iterator: 139 | Time: 19:52:25
Thread №3 | Iterator: 140 | Time: 19:52:26
Thread №2 | Iterator: 141 | Time: 19:52:26
Thread №1 | Iterator: 142 | Time: 19:52:26
Thread №2 | Iterator: 143 | Time: 19:52:27
Thread №3 | Iterator: 144 | Time: 19:52:27
Thread №2 | Iterator: 145 | Time: 19:52:27
Thread №1 | Iterator: 146 | Time: 19:52:27
Thread №2 | Iterator: 147 | Time: 19:52:28
Thread №3 | Iterator: 148 | Time: 19:52:28
Thread №2 | Iterator: 149 | Time: 19:52:28
Thread №1 | Iterator: 150 | Time: 19:52:28
Thread №2 | Iterator: 151 | Time: 19:52:29
Thread №3 | Iterator: 152 | Time: 19:52:29
Thread №2 | Iterator: 153 | Time: 19:52:29
Thread №1 | Iterator: 154 | Time: 19:52:29
Thread №2 | Iterator: 155 | Time: 19:52:30
Thread №1 | Iterator: 156 | Time: 19:52:30
Thread №2 | Iterator: 157 | Time: 19:52:30
Thread №1 | Iterator: 158 | Time: 19:52:30
Thread №2 | Iterator: 159 | Time: 19:52:31
Thread №1 | Iterator: 160 | Time: 19:52:31
Thread №2 | Iterator: 161 | Time: 19:52:31
Thread №1 | Iterator: 162 | Time: 19:52:31
Thread №2 | Iterator: 163 | Time: 19:52:32
Thread №1 | Iterator: 164 | Time: 19:52:32
Thread №2 | Iterator: 165 | Time: 19:52:32
Thread №1 | Iterator: 166 | Time: 19:52:32
Thread №2 | Iterator: 167 | Time: 19:52:33
Thread №1 | Iterator: 168 | Time: 19:52:33
Thread №2 | Iterator: 169 | Time: 19:52:33
Thread №1 | Iterator: 170 | Time: 19:52:33
Thread №2 | Iterator: 171 | Time: 19:52:34
Thread №1 | Iterator: 172 | Time: 19:52:34
Thread №2 | Iterator: 173 | Time: 19:52:34
Thread №1 | Iterator: 174 | Time: 19:52:35
Thread №2 | Iterator: 175 | Time: 19:52:35
Thread №1 | Iterator: 176 | Time: 19:52:35
Thread №2 | Iterator: 177 | Time: 19:52:35
Thread №1 | Iterator: 178 | Time: 19:52:36
Thread №2 | Iterator: 179 | Time: 19:52:36
Thread №1 | Iterator: 180 | Time: 19:52:36
Thread №2 | Iterator: 181 | Time: 19:52:36
Thread №1 | Iterator: 182 | Time: 19:52:37
Thread №2 | Iterator: 183 | Time: 19:52:37
Thread №1 | Iterator: 184 | Time: 19:52:37
Thread №2 | Iterator: 185 | Time: 19:52:37
Thread №1 | Iterator: 186 | Time: 19:52:38
Thread №2 | Iterator: 187 | Time: 19:52:38
Thread №1 | Iterator: 188 | Time: 19:52:38
Thread №2 | Iterator: 189 | Time: 19:52:38
Thread №3 | Iterator: 190 | Time: 19:52:39
Thread №1 | Iterator: 191 | Time: 19:52:39
Thread №2 | Iterator: 192 | Time: 19:52:39
Thread №1 | Iterator: 193 | Time: 19:52:39
Thread №3 | Iterator: 194 | Time: 19:52:40
Thread №1 | Iterator: 195 | Time: 19:52:40
Thread №2 | Iterator: 196 | Time: 19:52:40
Thread №1 | Iterator: 197 | Time: 19:52:41
Thread №3 | Iterator: 198 | Time: 19:52:41
Thread №1 | Iterator: 199 | Time: 19:52:41
Thread №2 | Iterator: 200 | Time: 19:52:41
Thread №1 | Iterator: 201 | Time: 19:52:42
Thread №3 | Iterator: 202 | Time: 19:52:42
Thread №1 | Iterator: 203 | Time: 19:52:42
Thread №2 | Iterator: 204 | Time: 19:52:42
